,u,i,rating_pred,rating
0,2375,903,5.048913043478261,6
1,2375,96738,5.048913043478261,6
2,1229,36359,5.112318840579711,5
3,1229,97401,5.112318840579711,6
4,1229,101831,5.112318840579711,6
5,1066,19634,5.322915969337818,6
6,1066,29535,5.254513888888889,6
7,1066,63746,5.254513888888889,6
8,1066,162545,5.254513888888889,5
9,77,10899,5.2405179268678515,5
10,77,12032,5.250518403817362,6
11,77,26470,5.246718002949103,5
12,77,79338,5.240115556437639,6
13,77,96575,4.953191489361703,6
14,77,131657,5.264189664985428,5
15,77,160005,4.953191489361703,6
16,77,167036,4.953191489361703,6
17,23851,100757,5.352713178294573,6
18,1610,103661,5.421487359215639,1
19,13032,41517,4.7796666666666665,6
20,13032,90038,4.7770698355252845,6
21,17163,96543,5.2392080496750655,6
22,11819,78956,4.574275362318841,5
23,342,71496,5.1276422764227645,6
24,7080,71534,5.2397194924693204,5
25,1384,104723,5.106934050018216,6
26,1384,165260,5.183333333333334,6
27,3791,104729,5.061292895983463,6
28,2981,1915,5.022592592592593,3
29,2981,5298,5.022592592592593,6
30,2981,145683,5.072115981523082,6
31,5285,58702,4.953658536585365,6
32,9356,104686,4.725531914893617,6
33,3908,90890,5.4592769218391854,5
34,453,3165,5.282945736434109,6
35,453,17320,5.282945736434109,6
36,453,30810,5.282945736434109,6
37,453,38291,5.282945736434109,6
38,453,95864,5.414226069563913,5
39,453,119071,5.420168403576013,6
40,453,129174,5.282945736434109,6
41,453,137945,5.282945736434109,5
42,453,141528,5.389820062977958,6
43,453,162691,5.409092199394725,6
44,453,163792,5.282945736434109,6
45,453,170782,5.282945736434109,5
46,2144,1815,5.203703703703704,6
47,2144,30316,5.203703703703704,6
48,2144,31894,5.180568585477022,6
49,2144,62117,5.185857982665518,5
50,2144,63924,5.203703703703704,6
51,2144,88164,5.203703703703704,1
52,2144,100266,5.203703703703704,5
53,2144,139597,5.203703703703704,5
54,2144,163739,5.203703703703704,6
55,222,108659,4.986939089311369,6
56,222,115952,5.025993460403921,6
57,8000,111127,5.220464902229763,6
58,1217,21908,5.113063063063064,6
59,1217,93346,5.113063063063064,6
60,1217,107172,5.113063063063064,6
61,1217,111136,5.0026848759335465,6
62,9323,10489,5.375968992248063,6
63,9323,150933,5.375968992248063,6
64,2862,82202,5.251190476190477,6
65,21610,118496,5.331818181818182,4
66,16339,83393,5.375968992248063,6
67,9301,101502,5.374031007751937,5
68,23740,66172,5.4224806201550395,6
69,10241,7223,5.375968992248063,6
70,24114,96770,5.375968992248063,6
71,21882,97331,5.375968992248063,6
72,2028,8160,5.368355853244282,5
73,4827,106975,5.137301587301587,6
74,7556,4369,5.225330012238012,6
75,7556,146897,5.217331365412381,6
76,564,18103,5.187852600994985,6
77,564,35164,5.198979690825775,6
78,564,43837,5.192700981397869,5
79,564,109444,5.365364874973721,6
80,14893,110288,4.743537414965987,6
81,20109,63159,5.224766573011212,6
82,4956,101486,4.948062015503876,6
83,1795,41169,5.177686167349829,6
84,1795,111110,5.444961240310078,5
85,1795,111550,5.444961240310078,6
86,1795,141588,5.444961240310078,6
87,1795,150946,5.143904869327509,6
88,755,7004,4.940972222222222,6
89,755,106295,5.376866307475409,6
90,755,110405,4.940972222222222,6
91,755,138481,4.940972222222222,6
92,755,170543,5.404658452859212,6
93,755,171365,5.379191136720867,6
94,1344,20238,5.176207566118318,6
