,u,i,rating,rating_pred
0,1610,103661,1,4.639117483250611
10,17163,96543,6,6.0
22,1384,104723,6,5.91358024691358
32,3908,90890,5,4.0
37,222,108659,6,5.8
45,8000,111127,6,6.0
50,1217,111136,6,6.0
59,7556,4369,6,5.944444444444444
64,564,109444,6,5.604938271604938
69,755,106295,6,5.677922077922078
75,1344,20238,6,5.944444444444444
82,1272,48733,6,5.7167739667739665
90,2020,116310,6,5.603809523809524
98,2473,945,6,5.70959595959596
103,13216,120310,5,5.669047619047619
115,1121,98280,4,5.041666666666666
121,5088,5485,6,6.0
127,2304,64601,6,5.035016111707841
136,1359,1921,6,5.65
141,7880,48058,6,6.0
150,276,50878,6,5.731922398589066
160,2408,70144,6,6.0
164,17896,33563,6,5.0
173,77,26470,5,5.535830745341615
181,636,137277,6,5.462714285714286
193,10360,122019,6,6.0
198,1595,106142,5,5.545418060200669
204,3822,64188,6,5.833333333333334
213,5003,64261,5,6.0
226,1074,361,6,6.0
232,19251,127083,6,5.333333333333333
241,9341,28650,6,5.0
248,1066,19634,6,5.64451871657754
260,9275,96302,6,6.0
268,8167,149405,5,5.888888888888889
284,13349,47717,6,6.0
297,8638,8674,4,5.183035714285714
308,9084,28163,6,6.0
312,2425,32780,5,6.0
321,395,63463,5,4.490901165958374
326,3049,134105,6,6.0
331,1112,53183,6,6.0
339,3460,6569,6,6.0
344,753,81066,5,5.0095238095238095
347,3604,46522,6,5.801148127235083
356,18208,43748,5,6.0
361,1185,155954,5,5.918286460240484
370,4773,25290,6,5.807977736549165
379,13910,119749,6,5.75
386,3559,119437,5,5.056666666666667
391,1149,127741,6,5.837952787952788
400,7213,70141,6,5.3
409,1692,64350,5,5.900300728078506
419,2009,32511,6,6.0
426,3556,30391,5,5.6306666666666665
433,2190,162529,6,6.0
437,508,100387,6,5.6632038778590506
447,8452,5193,6,3.5
456,561,65899,6,5.486422902494332
464,2849,119308,5,5.944444444444444
470,3002,72207,6,6.0
475,271,163671,4,5.533333333333333
481,467,107662,5,5.5
485,16205,11762,6,6.0
494,13963,50710,6,5.25
501,11783,74052,6,5.333333333333333
511,2031,127852,5,5.683333333333334
516,1825,143310,1,6.0
525,1966,115099,4,5.67020202020202
534,2042,164752,6,5.982142857142857
543,6069,167753,5,4.333333333333333
550,23162,85063,6,6.0
554,17,28195,6,5.822108024314198
562,778,141777,6,5.535251854592184
569,746,167961,6,5.892592592592592
579,2377,142183,1,5.933333333333334
587,1573,82283,1,5.22008547008547
598,11329,47500,5,6.0
608,6277,4177,6,6.0
612,7318,48236,6,5.916666666666667
621,210,148935,6,5.627705627705628
633,395,162356,5,4.493714945932607
641,5408,80096,6,6.0
649,12085,9574,6,6.0
661,1941,158930,6,6.0
672,3,80957,6,5.761714419839421
685,1194,32886,5,5.269523809523809
694,1393,7926,6,6.0
699,209,149048,6,5.127173913043478
708,274,147198,6,5.926470588235294
713,755,170543,6,5.740071028411364
720,696,151452,6,5.51111111111111
726,3575,137900,6,5.583333333333333
732,1322,39762,6,6.0
742,105,129664,6,5.487179487179487
746,4509,1944,6,6.0
754,1963,161791,5,5.516865079365079
764,1379,157879,5,3.874409002303739
773,19881,155664,6,6.0
788,824,61274,6,5.895959595959596
794,82,153532,6,5.835721084665134
801,322,128111,6,5.608333333333333
808,358,103960,5,5.333333333333334
812,863,60958,4,5.529166666666667
819,12133,100654,6,6.0
828,13524,75591,6,6.0
838,2225,119173,5,5.7142857142857135
852,5031,4126,6,6.0
860,2741,54613,6,6.0
867,7347,126204,5,5.0
877,1192,8003,6,5.833333333333334
884,4389,123074,6,5.907407407407407
893,14280,139267,6,5.6
904,9564,6444,6,6.0
910,5885,114803,5,4.666666666666667
916,9593,71574,6,3.928571428571429
924,13544,41159,6,6.0
929,10545,45632,6,6.0
940,11434,53667,6,5.833333333333334
947,6036,36005,6,5.944444444444444
953,10405,55598,6,5.0
966,1048,39515,5,6.0
972,6963,35079,5,6.0
983,828,102699,6,5.645679012345679
992,220,72352,6,5.487409675659504
997,705,167228,6,6.0
1002,4605,2042,6,5.833333333333333
1009,5918,69247,5,5.607142857142857
1020,1287,67087,6,4.851851851851852
1025,322,58158,6,5.593033720665299
1031,1377,100022,6,5.979166666666667
1037,6748,169731,6,5.2227891156462585
1050,12171,86852,6,6.0
1062,5963,90160,6,5.472222222222222
1067,1838,32845,6,5.103627450980392
1076,1712,152292,6,5.805555555555556
1088,398,40542,6,6.0
1095,21664,37348,6,6.0
1099,890,176345,6,5.770833333333333
1107,11492,144909,5,5.166666666666667
1113,10745,158237,6,6.0
1123,7153,103088,5,5.279999999999999
1133,1300,15929,6,5.764098972922503
1146,2210,90215,6,4.841666666666667
1154,1372,122995,5,5.601564702028628
1162,3497,118834,4,5.63611111111111
1168,8791,122927,6,5.537037037037037
1180,11201,8387,6,5.5
1189,384,98884,6,5.4425329692944295
1201,7489,21325,4,5.481944444444444
1208,24044,167355,6,6.0
1217,315,56058,1,5.760188087774295
1221,473,138310,6,5.735248981038455
1231,8619,18868,6,5.666666666666667
1240,7033,89188,6,6.0
1246,14252,148033,6,4.0
1254,9377,167259,1,5.666666666666667
1265,480,96908,6,5.475534170002524
1275,745,44551,6,5.705662393162393
1281,4164,11669,6,5.200757575757576
1295,380,36212,6,5.576388888888889
1303,3575,27335,6,5.944444444444444
1314,1369,14150,6,5.710625485625486
1325,10486,139238,6,5.428571428571428
1338,16848,166892,4,6.0
1349,8954,157740,6,6.0
1358,5482,19469,6,5.433333333333333
1367,3658,45593,6,5.908333333333333
1373,4243,169901,6,4.75
1379,7556,146897,6,5.84047619047619
1387,848,133425,5,4.000428245589536
1396,100,68893,6,5.83741969831467
1408,2043,8143,5,4.45758177008177
1421,15542,107375,6,5.0
