,u,i,rating,rating_pred
44,2375,96738,6,5.327868852459017
203,1229,97401,6,5.798927613941019
296,1066,29535,6,5.8688928050712335
459,77,96575,6,5.635944700460829
619,23851,100757,6,4.5
637,1610,103661,1,5.173913043478261
780,13032,41517,6,5.909090909090909
909,17163,96543,6,6.0
1043,11819,78956,5,5.2
1082,342,71496,6,5.699481865284974
1160,7080,71534,5,5.222222222222222
1217,1384,104723,6,5.895652173913043
1389,3791,104729,6,5.8
1610,2981,1915,3,5.6
1663,5285,58702,6,5.875
1743,9356,104686,6,5.833333333333333
1853,3908,90890,5,4.125
2098,453,3165,6,5.694994179278231
2330,2144,100266,5,5.398305084745763
2422,222,108659,6,5.8
2522,8000,111127,6,6.0
2548,1217,111136,6,5.968847352024922
2643,9323,10489,6,6.0
2702,2862,82202,6,5.6
3111,21610,118496,4,5.5
3195,16339,83393,6,6.0
3227,9301,101502,5,5.4375
3281,23740,66172,6,5.666666666666667
3352,10241,7223,6,6.0
3549,24114,96770,6,6.0
3677,21882,97331,6,6.0
3695,2028,8160,5,4.90625
4024,4827,106975,6,5.666666666666667
4452,7556,4369,6,5.84
4481,564,109444,6,5.841763005780347
4606,14893,110288,6,5.4
4627,20109,63159,6,6.0
4692,4956,101486,6,5.892857142857143
4850,1795,111110,5,5.958333333333333
4934,755,106295,6,5.712418300653595
4969,1344,20238,6,5.895833333333333
5057,1272,48733,6,5.523076923076923
5166,2020,116310,6,5.382113821138211
5333,3307,1334,2,6.0
5538,4589,33565,6,5.878571428571429
5625,2473,945,6,5.767441860465116
5719,8170,66298,6,6.0
6036,13216,120310,5,4.913043478260869
6102,14435,120834,6,3.0
6136,1121,98280,4,5.2727272727272725
6247,9882,12260,6,6.0
6376,14663,52602,4,5.5
6489,17308,45660,5,5.285714285714286
6571,928,65190,6,5.285714285714286
6663,21750,41800,6,6.0
6706,5088,5485,6,6.0
6839,6917,69399,5,5.0
7008,17137,30713,6,6.0
7048,762,124484,6,5.5058823529411764
7165,2136,110119,5,5.7317073170731705
