,u,i,rating,rating_pred
44,2375,96738,6,5.493234846034109
203,1229,97401,6,2.0645991291569605
637,1610,103661,1,3.4838134007621346
780,13032,41517,6,4.707820498063959
909,17163,96543,6,3.8252288431319554
1043,11819,78956,5,4.418412379912021
1082,342,71496,6,4.8473175428349355
1160,7080,71534,5,4.6414838802460405
1389,3791,104729,6,2.77983590228168
1663,5285,58702,6,4.936179329476132
1743,9356,104686,6,4.479432895854332
1853,3908,90890,5,5.171846407591703
2330,2144,100266,5,2.8855045603383416
2422,222,108659,6,4.095262899012887
2522,8000,111127,6,3.3218403617316135
2548,1217,111136,6,4.15855290738176
2702,2862,82202,6,3.1475182602555534
3111,21610,118496,4,3.978612391712853
3195,16339,83393,6,4.629416343907089
3227,9301,101502,5,4.2573759999450695
3352,10241,7223,6,3.9792099642158583
3677,21882,97331,6,4.512098587190694
3695,2028,8160,5,4.1186394099962
4024,4827,106975,6,4.656472883809683
4481,564,109444,6,4.910414612390929
4606,14893,110288,6,3.7568653566663515
4627,20109,63159,6,4.416773955751713
4692,4956,101486,6,4.088373166033193
4969,1344,20238,6,4.957793366228374
5057,1272,48733,6,4.598016715385709
5333,3307,1334,2,4.148595274379329
5538,4589,33565,6,4.80881222020919
5625,2473,945,6,5.607628800325894
5719,8170,66298,6,2.8253256561666897
6036,13216,120310,5,4.700343886609604
6102,14435,120834,6,1.4549833340326996
6136,1121,98280,4,5.195935434503341
6247,9882,12260,6,4.578163482792073
6376,14663,52602,4,3.5407090236495584
6489,17308,45660,5,5.029761398882217
6571,928,65190,6,3.5086528392916447
6663,21750,41800,6,4.641891190091868
6706,5088,5485,6,5.093013455469179
6839,6917,69399,5,4.295466933047075
7008,17137,30713,6,3.983158517363086
7048,762,124484,6,5.508548044446477
7235,2304,64601,6,4.6793685181440505
7539,2997,128535,6,3.974747828301559
7689,11866,104640,6,4.2140204979945395
7793,137,42272,6,5.41674153983518
7950,8385,91768,6,3.6280336114470635
8028,6064,44367,6,5.179802712801786
8241,1359,1921,6,5.085000983753064
8400,7880,48058,6,4.094040219964468
8521,276,50878,6,3.820114764336583
8583,17269,102591,4,4.0128887665022415
8738,4497,52463,6,3.8889443781790605
8966,1770,56077,1,4.0197601087450066
9330,2408,70144,6,3.7915403587453866
9423,17896,33563,6,4.011790387815079
9466,275,135287,6,4.9417110420600805
9768,103,86408,6,4.886672361655001
10315,5208,93410,6,4.536146383077569
10617,10360,122019,6,3.763839101654569
10927,1595,106142,5,4.695519923948326
10982,12918,138181,6,4.395125483233383
11256,4346,22579,6,3.886847922847807
11405,11357,8666,6,4.671660269738918
11488,1839,10830,6,4.178188740936865
11937,51,111119,6,4.618488883006428
12376,3822,64188,6,0.8508786590731263
12462,5598,30824,6,4.271452950502506
12605,5003,64261,5,4.804184095891511
12700,1074,361,6,5.198011949355068
12738,14131,31965,6,3.679568238718357
12804,5885,61480,6,5.206176077499529
13093,9341,28650,6,4.6964488396250035
13227,7465,23116,6,4.191207634187353
13348,7140,4790,6,4.937726357807905
13449,11040,53595,6,4.854434727090272
13813,6722,105392,6,4.3368848484273705
14308,5441,17676,5,4.933367007962171
14468,2336,31827,6,4.050267209913028
14757,9275,96302,6,4.565150914060884
14789,1377,12127,6,4.981323942845988
15143,13349,47717,6,4.262967331326167
15383,22920,90678,6,4.258892646951832
15452,2144,1815,6,2.8855045603383416
15658,8638,8674,4,4.531700409027994
15691,9084,28163,6,2.98370685020769
15906,1137,87781,5,3.2203377153338586
15943,12233,100795,4,4.925690715577858
16037,12502,113765,6,4.681142783377674
16227,395,63463,5,4.52083382385508
16680,5416,154511,6,4.28660451983565
17029,1112,53183,6,3.291880788205452
17180,3460,6569,6,4.356852231126643
17537,1996,96114,6,3.749751831732261
17583,3604,46522,6,3.1358471485472914
17910,18208,43748,5,4.559362523743732
18122,3521,4294,6,5.519654500555482
18370,11067,77703,6,5.129197436625882
18438,3436,82370,3,4.232405693842298
18472,8,156041,6,4.9797059908775045
18590,4773,25290,6,5.210686118935006
18712,13910,119749,6,2.123487524324255
18748,359,156061,6,4.928636089022053
18869,3029,46796,6,4.325042716958864
19297,13559,50265,1,3.877639768588483
19331,4150,64203,6,4.722023225441569
19772,2457,102112,6,4.692286018249258
20146,1911,50909,6,5.136915579617196
20754,3559,119437,5,4.089823817557999
20822,8535,106123,6,3.9798778226164098
21380,1598,10393,5,4.740785997327945
21440,1589,99080,6,3.4554643165779453
21481,1052,1074,6,5.254284441248748
21539,3578,85047,5,5.265442483288666
21596,19831,65109,6,3.530786098806401
21970,7213,70141,6,5.015846562814278
22024,1692,64350,5,3.8430278987672977
22106,5487,2671,6,4.800088978012628
22438,2009,32511,6,4.3049115589384925
22762,2769,32135,6,5.1448224265771305
22875,3556,30391,5,4.3268071460392115
22937,315,101542,6,3.969842203199593
23031,20153,78213,5,4.456239874771137
23146,10644,119515,5,3.6416193399852332
23192,198,21304,1,5.20951049713169
23801,15869,77154,6,5.048292943432398
23811,508,100387,6,5.424339064046193
24308,1174,77737,6,4.86224985153702
24355,1391,92497,6,4.402328146033826
24472,8452,5193,6,4.764711647024404
24502,37,92216,6,4.391239713998536
24845,12655,50085,5,3.400307990201911
25082,561,65899,6,4.737998171388359
25623,13523,38016,5,3.8375164624691918
25705,11872,94258,6,5.21016701575434
25769,2849,119308,5,3.15365734595494
25863,3002,72207,6,3.915123006064633
25973,201,45106,6,4.471049385519504
26297,6727,3660,4,1.4942826893118264
26333,271,163671,4,4.684973312405298
26583,19901,48168,5,4.792473817183699
26603,839,279,6,3.588492258803417
26921,274,61264,6,5.274968009952154
27044,16205,11762,6,2.4845937362055066
27099,1034,84206,6,3.860333428074067
27269,5626,8523,6,4.236649795086427
27287,772,35380,5,5.14006771493891
27384,22791,85056,6,4.703744836201057
27415,128,157680,6,2.267073440095851
27467,11763,65619,6,4.790584168998384
27585,13963,50710,6,4.979987001113111
27617,2907,13041,6,5.526872164213695
27864,3840,140744,6,4.959784194555401
28044,12676,13489,6,3.7405862085786183
28210,2891,24565,5,4.415599301881023
28268,6937,3820,4,4.680075686347979
28418,7349,108032,6,3.8766927350145624
28528,3644,52651,6,5.591818788261704
28884,11783,74052,6,4.578998766941013
29112,1304,90427,6,5.043941894525807
29516,2031,127852,5,5.338878868711523
29573,1825,143310,1,5.128222367550879
29859,15976,39192,6,4.7708944017522885
30326,1966,115099,4,4.946240079561691
30581,10092,12074,6,5.305463936861573
30785,23162,85063,6,4.408845491509764
31039,16080,64712,5,3.094130111806109
31202,8970,7480,6,5.021842321189415
31445,1338,114945,6,4.802866227504662
31467,3,21493,6,3.259563509813359
31520,17,28195,6,4.885473819851123
31573,778,141777,6,4.329694367272909
31618,746,167961,6,2.8008336614240745
31691,6321,168038,6,5.01058094646744
31728,16555,61043,6,2.7229154168219196
32014,8156,78960,6,4.613847903167411
32123,1347,91247,6,4.948809682379177
32229,1431,52522,5,4.176174754564292
32270,693,79587,6,5.146416631547166
32490,6086,113928,5,5.1172601163370555
32513,567,48143,6,5.043947862984919
32695,1573,82283,1,5.659629148976918
32813,10086,124238,6,4.797795717705096
32853,3015,56388,6,5.397922938668802
32946,3259,69097,6,3.901564427973699
32989,20341,99184,6,4.45124391786719
33026,11329,47500,5,4.298795396135178
33118,6277,4177,6,5.383026023228621
33163,1039,69972,6,3.5818199552126795
33211,993,18007,6,4.041199341094676
33410,7318,48236,6,5.157278292295566
33525,210,148935,6,4.803176303915184
33611,14394,13833,6,4.406234648864015
33693,4217,1783,5,5.7136929954157205
33730,395,162356,5,4.52083382385508
33944,11452,12178,6,5.2944262006177585
34059,12949,28879,6,5.261558693458301
34166,5408,80096,6,4.435719609821003
34299,12085,9574,6,5.7370502722389345
34356,1941,158930,6,4.192682002054798
34545,2140,95540,6,4.660488084726354
34610,3,80957,6,3.259563509813359
34672,1194,32886,5,4.463567916087697
34763,1393,7926,6,2.156766127779834
34878,2048,13886,1,5.205896729255677
35064,209,149048,6,5.734200764223221
35222,274,147198,6,5.274968009952154
35406,6067,47335,6,4.495287922527217
35590,6290,107197,6,4.386634269523787
35817,7103,111865,6,3.6140547175937834
36205,10483,57203,3,4.65196989209858
36240,901,4683,6,4.336533226875579
36330,696,151452,6,5.013613569075932
36469,2961,34215,5,5.430336907030886
36526,1431,31260,6,4.176174754564292
36962,3575,137900,6,4.264381240444187
36990,423,66996,6,4.77039109418193
37057,12133,14169,6,0.7394275861855966
37101,4590,53910,6,3.9669205141628767
37135,1322,39762,6,4.161875984032712
37165,105,129664,6,5.035918904364349
37237,4563,105678,6,3.7392755378212583
37255,330,124567,5,1.6829325405195619
37336,803,87717,6,4.290225371349993
37556,4509,1944,6,3.9687698113396372
37710,2429,55907,5,5.118982842658894
37959,2536,2088,6,3.819687308712167
38014,1379,157879,5,3.739802396775494
38087,6556,99969,6,4.4619325596251995
38354,824,61274,6,5.055902029225242
38498,1569,3754,4,4.081839059990332
38638,3530,97240,5,3.2758207097732996
38671,803,29952,6,4.290225371349993
38716,82,153532,6,4.742120655191416
39109,2794,112981,5,4.198312545491364
39171,3754,29165,6,5.302540805132148
39387,6543,39146,6,3.619284878461666
39450,358,103960,5,5.477561894131436
39534,13339,11908,6,4.496600001974215
39560,863,60958,4,4.894090606116359
39831,12133,100654,6,0.7394275861855966
39960,14400,59702,6,4.357026649662538
40030,13524,75591,6,4.048935722331187
40196,2225,119173,5,4.909857268257559
40237,12308,53102,5,5.1800073593315705
40268,5031,4126,6,4.589415243591258
40407,2741,54613,6,5.494189679725141
40604,7347,126204,5,4.975455888596521
40644,84,116572,4,4.019977377820805
40974,1353,72436,6,3.207817847376063
41068,86,103986,6,4.92411716881017
41140,3178,96565,5,2.654566325342344
41205,9564,6444,6,5.258574282947326
41231,5885,114803,5,5.206176077499529
41277,9593,71574,6,3.3052728898773065
41291,27,40699,6,4.254278431153355
41529,13544,41159,6,4.999287512117156
41590,10545,45632,6,3.650447766740289
41677,1035,93195,6,3.3168926127907836
41776,11434,53667,6,4.814530058905325
41795,846,89947,5,4.10698757266044
41880,6036,36005,6,4.61466259664676
42017,3290,72253,6,3.3678204152347933
42111,619,15076,6,4.450727042500746
42461,363,57768,5,5.253192682146472
42511,1048,39515,5,5.491001018533597
42615,5330,2536,6,5.422892892319775
42769,1720,669,6,5.386435747510995
42905,15642,44557,6,4.496995372011713
42920,330,73519,5,1.6829325405195619
43010,2703,54149,6,3.9138483618465845
43254,12480,59131,3,5.085012026560235
43381,13889,54984,3,4.678782497152607
43423,6963,35079,5,5.016674230979876
43548,7631,120292,6,5.288975596219052
43598,10615,28165,5,4.88192446925975
43622,828,102699,6,4.653791893553948
43839,705,167228,6,4.836948664592912
44084,10541,106083,5,2.5802922957543024
44184,3214,83532,5,4.647415958257119
44234,4605,2042,6,5.41851950699784
44371,5918,69247,5,4.339253315348705
44481,2342,21617,6,4.894499739883017
44617,20369,82570,6,3.1505843924194687
44788,5789,142799,5,4.977916836407588
44889,6290,94801,6,4.386634269523787
45093,1287,67087,6,5.220154895421282
45184,5485,3869,6,5.208606117166132
45260,17815,97948,4,2.572295536834239
45360,907,19942,6,4.930501769103369
45467,1377,100022,6,4.981323942845988
45629,5431,98964,6,4.524654020126124
45718,3865,52555,4,3.085974760753008
45814,11783,92697,6,4.578998766941013
45948,4185,30147,5,4.520960783831939
46151,14130,109735,6,4.14208593366982
46213,8817,71545,6,3.6826251120840685
46288,679,92542,5,4.156105833833207
46361,2597,11579,6,5.047168549598656
46415,12455,82128,6,4.673065438466556
46507,17094,20821,6,3.992802998393714
46587,12171,86852,6,4.290721940952309
46676,5578,111252,6,4.163077770975688
46785,1685,52047,6,5.388816184769729
46949,2831,102600,6,4.567910832802066
46993,6658,65803,1,5.5342646128715804
47028,6701,108013,6,4.427398893011731
47109,5963,90160,6,4.977503890832377
47176,1838,32845,6,4.014305090750674
47313,398,40542,6,4.291118690726359
47374,7349,59116,5,3.8766927350145624
47449,6567,3483,6,5.360041665124369
47540,470,176310,5,4.9640377035782475
47668,21664,37348,6,4.642821025457956
47679,3,34439,6,3.259563509813359
47723,12859,42579,6,4.66554864493038
47779,18452,25999,3,4.534352662752219
47929,5116,37077,5,4.327549294587644
48016,4648,106867,6,4.201447780612245
48102,23288,72285,6,4.4658161618225956
48123,299,48405,6,4.358901708646036
48398,1454,36061,6,4.473955153252928
48970,2021,106058,6,4.414974463288964
49173,10745,158237,6,4.190193235457519
49199,7153,103088,5,5.023986216946332
49250,1300,15929,6,4.647295827263359
49666,651,9677,4,5.686825334398625
49858,27,40343,6,4.254278431153355
49915,1675,119016,6,4.850131310273911
49999,3600,36895,6,4.541696555239821
50490,2523,77519,6,5.286997400097782
50689,121,10369,6,5.71601276239198
50737,3,61938,6,3.259563509813359
51038,6626,51669,6,4.833746268043198
51242,11201,8387,6,3.152448973658896
51309,6848,112031,6,3.5761667602251066
51428,4408,95158,6,4.5412152937403185
51473,7489,21325,4,4.718578324293736
51636,8104,102888,6,4.6279753654677025
51783,315,56058,1,3.969842203199593
51925,836,131401,6,4.076056767007625
52081,8854,104128,6,3.383750327291352
52411,8697,7482,6,4.416179343000953
52559,473,138310,6,4.1450243618307345
52603,11223,3225,6,4.30494192577781
52644,2150,73332,6,5.380786773635177
52764,506,105403,6,4.882098967604325
52966,8619,18868,6,4.482156008228789
53110,3168,75270,6,4.578653876314612
53255,7555,29880,6,3.7863863035257608
53351,7033,89188,6,4.3682575034079845
53423,25,9369,5,4.787642944264949
53587,226,11102,6,5.089059499059756
53723,1417,59250,6,4.213373906227797
54047,13463,13476,5,5.335084857128888
54218,2877,2691,6,5.170263800566636
54834,745,44551,6,5.074747635056122
55085,1564,118418,5,4.480512208185029
55260,2521,105416,6,4.522089774231379
55286,3567,46142,4,5.0533864252169405
55388,4164,11669,6,4.099466199978937
55524,18462,103452,5,3.222932143346186
55585,3575,27335,6,4.264381240444187
55622,1369,14150,6,2.589271435281063
55679,6296,114131,6,5.294900397297135
55785,6830,43071,6,4.986372467518902
55968,18977,64761,4,0.763957633363003
56213,567,34296,6,5.043947862984919
56382,1815,32541,6,4.338947293290503
56444,1710,45866,6,5.025788601733479
56580,16848,166892,4,5.060533356945446
57105,3658,45593,6,4.974225757091542
57325,3907,1684,6,4.3113358486535365
57392,604,44699,1,3.699559434616523
57660,485,121511,6,5.338003139280817
57776,2043,8143,5,4.4762406544906
57886,989,17768,6,5.525977023198414
58109,15542,107375,6,4.275370579619388
58339,164,201,6,2.4461949063738615
58408,5094,81837,6,4.5392087635254175
58459,1705,40574,6,3.6212766260448253
58606,14073,107671,6,4.448917930367555
58651,6256,93026,6,3.8467051896394078
58738,1675,95316,5,4.850131310273911
58786,1239,129109,6,4.982226570860842
58839,1680,79089,6,4.456419241609206
58985,15625,28705,5,4.56604078779543
59090,3397,28774,5,3.246793794787691
59177,2666,3019,6,4.455717967122198
59412,7501,80236,6,4.951062227241567
59662,17668,22701,6,4.870657589223286
59767,8468,28381,6,5.053188608168584
59792,6229,69341,1,5.302865683169207
59860,1431,160680,6,4.176174754564292
59952,282,146605,6,3.45360501199923
60095,1515,34049,5,5.098353409171205
60175,17679,63577,6,4.358618909105821
60214,132,175682,6,4.767290879287068
60267,8080,36981,6,4.612131169252107
60564,9251,17781,6,5.265376851140086
60749,4916,29768,6,4.115211864238876
60808,143,88276,6,3.861090483851204
60897,978,87565,6,4.513589775257491
61079,570,28534,6,5.29465663818639
61141,2911,98871,6,4.6783459550541275
61197,9922,76934,6,5.056193891762958
61700,901,115659,6,4.336533226875579
61717,121,27910,6,5.71601276239198
61787,515,67159,6,5.310902617563894
61867,459,2848,6,4.641397197695427
62154,3175,92292,6,4.564458394047845
62487,3655,121514,6,4.135323239053815
62558,1281,39227,6,4.555092135196934
62687,11816,77155,6,3.1952674300986232
62720,1783,30000,6,4.281503094440535
