,u,i,rating,rating_pred
0,2375,96738,6,1.240525254418344
1,1229,97401,6,2.822492821755688
2,1066,29535,6,2.4104139594724545
3,77,96575,6,3.356648903194028
4,23851,100757,6,5.343851236467162
5,1610,103661,1,3.5152519529298023
6,13032,41517,6,6.80339806395708
7,17163,96543,6,2.284045264475905
8,11819,78956,5,1.76813239611323
9,342,71496,6,4.8523959870062745
10,7080,71534,5,4.880670418272943
11,1384,104723,6,1.4264534489350749
12,3791,104729,6,3.8661329452031215
13,2981,1915,3,4.518629908379804
14,5285,58702,6,5.701646025638535
15,9356,104686,6,6.209755948279746
16,3908,90890,5,3.212382589081007
17,453,3165,6,2.508017816857113
18,2144,100266,5,6.638139547319173
19,222,108659,6,1.3124673143722532
20,8000,111127,6,3.4424481523059867
21,1217,111136,6,3.070255899099495
22,9323,10489,6,2.9329910899746974
23,2862,82202,6,6.854273143021776
24,21610,118496,4,3.7371377779708785
25,16339,83393,6,1.7406496988632565
26,9301,101502,5,3.7534434775165364
27,23740,66172,6,1.4789649057912755
28,10241,7223,6,4.90562851332699
29,24114,96770,6,5.768883732238291
30,21882,97331,6,4.623659264555295
31,2028,8160,5,4.430499631047791
32,4827,106975,6,2.089401541108624
33,7556,4369,6,5.126147713825598
34,564,109444,6,5.796525505725464
35,14893,110288,6,2.2230697883124275
36,20109,63159,6,5.72542394254145
37,4956,101486,6,6.102152947315167
38,1795,111110,5,2.9998423762719355
39,755,106295,6,6.30783392930312
40,1344,20238,6,5.5029654643799635
41,1272,48733,6,1.341793612482522
42,2020,116310,6,5.334807653390572
43,3307,1334,2,5.498409035900979
44,4589,33565,6,3.3998249471077444
45,2473,945,6,1.6277560101284314
46,8170,66298,6,2.857095898942836
47,13216,120310,5,3.823582223752993
48,14435,120834,6,2.9292865104927954
49,1121,98280,4,4.433494238393286
50,9882,12260,6,1.129217603749617
51,14663,52602,4,4.9005756926414366
52,17308,45660,5,5.822009421145246
53,928,65190,6,1.4086946195992893
54,21750,41800,6,1.7040047463448496
55,5088,5485,6,4.115460656966866
56,6917,69399,5,5.440216621502839
57,17137,30713,6,2.3287022984983574
58,762,124484,6,1.956306641949601
59,2136,110119,5,5.708286418482924
60,2304,64601,6,4.832322575966675
61,2997,128535,6,2.830982695085569
62,11866,104640,6,2.485256432282663
63,137,42272,6,4.194980780011138
64,8385,91768,6,5.187568814082379
65,386,77138,5,3.831080518870248
66,6064,44367,6,5.895782448528854
67,1359,1921,6,1.3983312654713473
68,552,103336,6,4.937994413135984
69,7880,48058,6,3.0035706114072105
70,5442,129494,6,5.965150866008306
71,276,50878,6,4.157744417235115
72,17269,102591,4,5.754043371856359
73,453,30810,6,6.712196953729223
74,4497,52463,6,3.2883225266193556
75,17020,132583,6,6.727249169199308
76,1770,56077,1,1.7264729478716592
77,2408,70144,6,3.720872509839819
78,17896,33563,6,2.740409828171199
79,275,135287,6,5.11046055927981
80,77,26470,5,5.1115564896482075
