,u,i,rating,rating_pred
0,2375,96738,6.0,4.837893601270269
1,2375,903,6.0,4.678718359400317
2,1229,97401,6.0,5.145156296631432
3,1229,36359,5.0,5.7261154317845735
4,1229,101831,6.0,5.959583832639859
5,1066,29535,6.0,5.47790525048028
6,1066,19634,6.0,5.589603882699141
7,1066,63746,6.0,5.478480294060294
8,1066,162545,5.0,5.889239397908941
9,77,96575,6.0,4.878941011233838
10,77,26470,5.0,5.771749026788367
11,77,160005,6.0,5.655846689693285
12,77,10899,5.0,5.456167477292688
13,77,79338,6.0,5.567676081842754
14,77,167036,6.0,5.725667107994667
15,77,12032,6.0,5.085965232956264
16,77,131657,5.0,5.099177292124645
17,23851,100757,6.0,4.905243282227436
18,1610,103661,1.0,4.560598225680728
19,13032,41517,6.0,4.9671973530800635
20,13032,90038,6.0,5.943077096222779
21,17163,96543,6.0,5.681686863849816
22,11819,78956,5.0,5.10280148190426
23,342,71496,6.0,5.840577512914827
24,7080,71534,5.0,4.625203399020899
25,1384,104723,6.0,6.0
26,1384,165260,6.0,6.0
27,3791,104729,6.0,5.70817424901355
28,2981,1915,3.0,5.5938712047339845
29,2981,5298,6.0,5.461699091343396
30,2981,145683,6.0,6.0
31,5285,58702,6.0,5.832058534394373
32,9356,104686,6.0,4.258277394553538
33,3908,90890,5.0,4.083370237253548
34,453,3165,6.0,5.163761591766549
35,453,30810,6.0,5.917332975197861
36,453,141528,6.0,4.3502741757515295
37,453,95864,5.0,5.02532553423395
38,453,129174,6.0,5.884914382007537
39,453,17320,6.0,5.671568320431129
40,453,162691,6.0,5.702302766617693
41,453,137945,5.0,5.142014533818542
42,453,170782,5.0,4.931966422783197
43,453,119071,6.0,5.766146065062675
44,453,38291,6.0,5.839080970803387
45,453,163792,6.0,5.763122069148074
46,2144,100266,5.0,5.322924709531999
47,2144,1815,6.0,4.827605891007697
48,2144,31894,6.0,4.865469093681975
49,2144,62117,5.0,5.663168740613655
50,2144,88164,1.0,3.7844195802326728
51,2144,163739,6.0,5.195429796519443
52,2144,63924,6.0,5.282811421679883
53,2144,139597,5.0,4.50515355976398
54,2144,30316,6.0,4.833880819530679
55,222,108659,6.0,5.494722828408719
56,222,115952,6.0,5.425812128522687
57,8000,111127,6.0,5.440337880489173
58,1217,111136,6.0,5.4791830098515035
59,1217,21908,6.0,5.689899219790448
60,1217,93346,6.0,6.0
61,1217,107172,6.0,5.97450240509262
62,9323,10489,6.0,4.756435902290727
63,9323,150933,6.0,5.730214424436514
64,2862,82202,6.0,5.459283263280361
65,21610,118496,4.0,5.505826150479379
66,16339,83393,6.0,5.9635208826736426
67,9301,101502,5.0,5.521446636117787
68,23740,66172,6.0,4.888386164198601
69,10241,7223,6.0,5.859345572571792
70,24114,96770,6.0,5.469587366664854
71,21882,97331,6.0,5.683250631492696
72,2028,8160,5.0,4.342313674073396
73,4827,106975,6.0,5.460912268652213
74,7556,4369,6.0,5.3990705965283485
75,7556,146897,6.0,5.578220104382446
76,564,109444,6.0,4.953997341120485
77,564,35164,6.0,5.527760996731078
78,564,43837,5.0,5.38944163385255
79,564,18103,6.0,5.020538160946563
80,14893,110288,6.0,5.007578504345148
81,20109,63159,6.0,5.178173904341131
82,4956,101486,6.0,5.659191948761954
83,1795,111110,5.0,5.6015031229600245
84,1795,41169,6.0,5.949469535111098
85,1795,141588,6.0,5.770035551263377
86,1795,111550,6.0,5.782902176321455
87,1795,150946,6.0,6.0
88,755,106295,6.0,5.837011524669507
89,755,170543,6.0,5.7020327366795325
90,755,110405,6.0,5.70165970770746
91,755,7004,6.0,5.766452272449264
92,755,138481,6.0,5.510670766667044
93,755,171365,6.0,5.396228572957638
94,1344,20238,6.0,6.0
95,1272,48733,6.0,5.624121056927804
96,1272,85520,6.0,5.482595806392904
97,1272,59660,5.0,5.464467244261329
98,1272,46512,5.0,5.561372329432782
99,2020,116310,6.0,5.109468808243458
100,2020,107224,6.0,5.135412597653623
101,2020,163533,6.0,4.828874174805779
102,3307,1334,2.0,5.191475187600454
103,4589,33565,6.0,5.901757128490489
104,4589,7012,5.0,5.706165185100455
105,4589,28206,6.0,5.633687268593499
106,2473,945,6.0,4.757827198723851
107,8170,66298,6.0,5.6937488537576195
108,13216,120310,5.0,4.810442626384734
109,13216,19160,5.0,3.216831992212416
110,13216,11712,5.0,4.137494427221747
111,13216,74603,6.0,4.726991005662854
