,u,i,rating,rating_pred
0,3724,6541,6,1.0
1,9781,18467,5,1.0
2,4233,7796,6,1.0
3,450,7943,6,3.7129387855529785
4,2972,8985,1,1.0
5,12033,2765,6,1.0
6,2908,17906,6,1.0
7,3735,10974,6,6.0
8,13977,20166,5,5.062662124633789
9,7689,475,6,3.3959896564483643
10,5852,8287,6,1.0
11,1651,15191,5,1.0
12,5996,6660,5,1.0
13,16,582,6,1.0
14,3070,18185,6,6.0
15,7624,2190,6,1.0
16,4107,7476,6,1.612447738647461
17,3049,4858,6,1.0
18,3858,6650,6,1.0
19,3492,20667,5,1.0
20,9415,4044,6,2.857746124267578
21,369,15680,1,3.5671191215515137
22,1725,2453,6,1.0
23,5463,28332,5,1.0
24,619,24191,6,6.0
25,13399,126,6,1.0
26,2169,13160,6,2.987551212310791
27,7614,10965,6,1.0
28,628,750,6,1.0
29,2154,3242,5,1.0
30,421,11442,6,1.0
31,9385,3420,6,1.0
32,624,25,6,1.0
33,2433,7119,6,1.0
34,8028,9338,1,6.0
35,13022,12050,6,1.0
36,12775,1487,6,1.0
37,9145,16564,2,1.0
38,2926,9391,6,1.0
39,1438,15317,5,1.0
40,1399,7453,4,1.183943510055542
41,337,755,6,2.253829002380371
42,265,285,6,1.0
43,1239,14730,6,1.0
44,10614,2569,6,3.902970790863037
45,12603,3064,6,3.060185670852661
46,2417,15131,6,1.0
47,7477,16960,6,1.0
48,637,918,6,1.0
49,6288,5638,6,5.869367599487305
50,600,9857,6,5.0567731857299805
51,4799,9204,6,1.0
52,4768,2847,5,1.0
53,2199,13740,5,1.0
54,1584,6212,6,2.7214572429656982
55,3268,5480,6,1.0
56,4017,7244,6,6.0
57,6374,24131,6,1.0
58,10859,27102,6,4.666701316833496
59,5740,6360,6,1.0
60,4172,7642,6,1.0
61,942,21610,6,1.0
62,6475,27154,6,1.0
63,4971,2923,6,1.0
64,5637,13115,4,1.0
65,13816,25362,6,1.0
66,7984,19892,6,4.430126190185547
67,1891,6338,5,1.0
68,276,3689,6,1.0
69,7,2111,6,1.0
70,390,7033,5,3.1172735691070557
71,3943,7093,1,1.0
72,1025,13381,6,6.0
73,2521,2947,6,3.9417073726654053
74,4779,8401,5,1.0
75,220,5631,6,1.0
76,264,2324,5,6.0
77,3564,16,6,1.0
78,10937,321,6,5.237898826599121
79,5853,21479,6,1.0
80,3994,75,5,1.0
81,621,17639,6,3.932957172393799
82,885,2299,3,1.0
83,13684,10649,6,1.0
84,2908,4024,6,1.0
85,3344,5646,6,4.179607391357422
86,660,17870,6,5.783757209777832
87,3839,1849,6,2.156418800354004
88,6877,981,6,1.0
89,834,7482,6,1.0
90,2982,5436,6,1.0
91,3809,10640,6,1.0
92,6390,13674,4,1.0
93,269,291,2,1.0
94,591,3582,6,1.0
95,1493,21811,5,1.0
96,11268,5355,5,1.0
97,7352,2990,6,1.0
98,3729,19355,6,1.0
99,12682,6437,5,1.0
100,9088,3551,5,1.0
101,2739,4371,6,1.0
102,11465,6216,6,1.0
103,10860,29430,6,2.6284446716308594
104,4733,22651,1,1.0
105,39,69,6,1.0
106,5621,2315,6,1.0
107,159,6748,6,1.0
108,8902,5735,6,1.0
109,6745,3480,5,1.0
110,2814,6857,4,1.0
111,4753,5411,6,1.0
112,4809,1593,5,1.0
113,1077,1376,6,5.525894641876221
114,511,11056,6,1.5568745136260986
115,13530,8454,4,1.0
116,4336,3691,6,1.0
117,947,579,5,1.0
118,1894,20706,6,2.6753859519958496
119,12758,1424,6,1.0
120,2013,57,6,6.0
121,8728,26847,6,5.694371700286865
122,3832,6786,6,6.0
123,914,3431,6,1.0
124,290,9486,6,1.0
125,4258,1571,6,1.0
126,10018,6522,5,1.0
127,10489,18334,6,1.0
128,5028,8028,6,6.0
129,169,694,6,1.0
130,5938,8500,6,1.5247061252593994
131,10906,12978,3,1.0
132,851,1049,6,1.0
133,1195,4871,5,1.0
134,10495,22570,5,3.4460813999176025
135,861,13173,6,1.0
136,445,1115,6,1.139125108718872
137,10383,5338,6,1.0
138,762,10614,6,4.022816181182861
139,596,30429,6,2.615237236022949
140,2935,4827,5,1.0
141,7606,7238,5,3.9342212677001953
142,3455,24766,6,1.0
143,1561,15891,6,1.0
144,4848,11201,6,2.5719456672668457
145,470,6657,6,3.9272069931030273
146,1677,21143,6,1.0
147,9287,2247,6,1.0
148,1564,1749,6,1.0
149,5777,4610,6,4.193075656890869
150,738,1381,6,1.0
151,9587,16679,6,1.0
152,6109,12764,6,1.0
153,4490,3614,6,3.3551480770111084
154,13539,30393,1,5.865659713745117
155,220,18163,6,1.0
156,1947,8892,6,1.0
157,2643,23918,6,1.0
158,2577,8,6,1.0
159,11198,15928,6,1.0
160,10021,22122,6,1.0
161,3179,9905,6,1.0
162,7469,1948,6,1.0
163,10903,28381,5,1.0
164,55,22168,6,2.5022201538085938
165,2730,12565,5,2.0353665351867676
166,147,182,6,5.8936004638671875
167,1027,1114,6,1.0
168,9838,4029,6,1.0
169,3695,9158,5,1.0
170,884,1092,6,1.0
171,3029,2400,6,1.0
172,180,33808,6,1.0
173,46,1068,6,1.0
174,5798,1230,6,1.0
175,525,609,6,2.2740612030029297
176,1104,1089,6,1.0
177,92,49,6,1.0
178,2759,10283,6,1.0
179,10947,13937,6,1.0
180,947,1048,6,1.0
181,3142,7616,6,1.0
182,3335,4926,6,6.0
183,5810,16142,5,2.30704927444458
184,7406,1771,6,1.0
185,1181,2790,6,1.0
186,7956,6327,6,2.1177995204925537
187,1427,10900,6,1.0
188,312,402,6,1.0
189,5673,11578,6,1.4685964584350586
190,2871,32642,6,1.0
191,942,11371,1,1.0
192,4190,2132,6,6.0
193,6764,5018,6,1.0
194,438,9462,5,1.0
195,10268,8550,6,6.0
196,11759,7661,6,1.0
197,256,53,6,1.0
198,93,9504,6,4.0103759765625
199,6302,13396,6,1.0
200,2848,6921,6,1.0
201,3847,1255,6,1.0
202,5659,3591,6,6.0
203,3270,12804,5,1.0
204,4681,5542,6,1.0
205,10922,26768,1,5.857351779937744
206,7857,4828,6,1.0
207,697,25616,6,4.423548698425293
208,1416,11667,5,4.459806442260742
209,1894,15679,6,2.6753859519958496
210,4287,1676,3,1.0
211,183,2169,5,3.7905898094177246
212,5926,4978,6,2.2545032501220703
213,5865,17508,6,6.0
214,12876,6696,6,1.0
215,12411,35891,5,1.0
216,2689,4525,6,3.9757649898529053
217,2507,3527,6,3.190643310546875
218,12468,11818,6,1.0
219,5655,4151,6,1.0
220,1513,14813,6,1.0
221,7117,7991,6,1.0
222,3755,3708,6,1.0
223,2288,3495,6,1.0
224,10860,23577,1,2.6284446716308594
225,7265,22857,6,1.0
226,13872,3328,4,2.1798486709594727
227,555,15623,5,1.0
228,2761,3138,6,1.0
229,596,16488,6,2.615237236022949
230,2181,15388,5,4.455718517303467
231,1581,1439,5,1.0
232,1604,2643,5,1.0
233,1101,2179,5,1.0
234,6467,8149,6,1.0
235,183,4142,5,3.7905898094177246
236,8577,16750,6,1.9988222122192383
237,1475,12144,6,1.0
238,189,199,5,1.0
239,965,10774,6,1.0
240,2205,3331,5,1.0
241,3144,19036,6,1.0
242,4988,4099,6,1.0
243,7574,6444,1,1.0
244,467,541,1,1.0
245,4594,13517,6,1.0
246,9021,973,6,1.0
247,2073,621,6,6.0
248,4869,8975,6,1.0
249,996,3199,6,1.0
250,10367,12557,6,1.0
251,1181,7038,4,1.0
252,882,9645,6,1.0
253,300,10022,4,6.0
254,6020,276,6,6.0
255,4865,9387,6,1.0
256,6686,21125,5,1.0
257,11266,20987,6,1.0
258,13818,11445,6,1.0
259,3835,6796,6,1.0
260,1287,7447,5,3.172672748565674
261,8918,1,4,1.5041944980621338
262,5016,15527,6,1.0
263,11421,1998,3,1.0
264,4822,6809,6,1.0
265,5922,11902,6,1.0
266,8534,6754,5,1.0
267,5712,2486,4,1.0
268,12861,6486,6,1.0
269,7821,4877,6,1.0
270,8461,35353,6,1.0
271,3090,1909,3,1.0
272,1572,12082,6,1.0
273,1202,5489,6,1.0
274,577,9149,6,2.513589382171631
275,1129,6413,6,1.0
276,3695,1547,6,1.0
277,6097,11946,6,1.0
278,11326,14265,6,2.8423542976379395
279,5073,8888,6,1.0
280,9611,6415,6,1.0
281,941,23695,6,1.0
282,8801,3447,6,1.0
283,5200,10322,6,2.339686870574951
284,6554,3028,6,1.0
285,6730,14675,6,6.0
286,1073,14598,6,1.0
287,696,4119,6,4.232337474822998
288,8253,923,4,6.0
289,7095,65,6,1.5169157981872559
290,619,5165,5,6.0
291,390,1037,6,3.1172735691070557
292,1922,55,6,3.0018725395202637
293,722,23395,6,3.175447702407837
294,1808,10641,6,1.0
295,4680,15209,6,1.9190441370010376
296,5840,1003,6,5.274767875671387
297,39,2128,6,1.0
298,2133,13505,6,1.0
299,941,13990,6,1.0
300,10985,4974,2,6.0
301,11979,5906,5,3.3533692359924316
302,1593,2785,5,1.0
303,6477,11926,6,5.343646049499512
304,7777,13947,6,1.0
305,12913,34825,1,6.0
306,3320,22419,6,1.0
307,7648,17326,6,1.0
308,2512,1639,6,1.0
309,9263,20217,6,1.0
310,1022,19780,6,1.0
311,2,3175,6,1.0
312,42,9982,6,1.0
313,11457,10585,6,4.778392314910889
314,220,279,6,1.0
315,3543,5246,6,4.494359016418457
316,3101,8519,5,1.0
317,5196,2061,5,1.0
318,220,1907,6,1.0
319,5422,15039,6,1.0
320,4239,22368,5,1.0
321,8635,11652,6,1.0
322,3755,7386,6,1.0
323,1621,2253,5,1.0
324,11408,15198,6,1.0
325,4859,10957,2,1.0
326,12745,6,1,2.1879632472991943
327,3122,10690,6,6.0
328,759,4555,6,1.278421401977539
329,8664,25056,6,1.0
330,901,2105,6,1.0
331,9495,3214,5,1.0
332,5700,22307,6,2.650118112564087
333,10445,24943,6,6.0
334,7607,17414,6,1.0
335,3977,31705,6,1.0
336,6535,4643,6,1.0
337,528,3617,6,1.0
338,6730,6917,6,6.0
339,210,16303,5,1.0
340,4338,14741,6,3.7624988555908203
341,7426,8740,6,2.7002201080322266
342,918,8702,6,4.858822822570801
343,283,21207,6,1.0
344,210,14794,6,1.0
345,5452,230,6,1.2788608074188232
346,9196,8938,6,1.0
347,10169,8124,6,1.0
348,5767,14053,6,1.0
349,1743,28645,6,1.0
350,2727,8511,6,1.0
351,187,6806,6,1.0
352,5238,393,6,1.0
353,1787,2561,6,1.0
354,4095,2107,6,1.0
355,619,974,6,6.0
356,1827,19023,5,1.0
357,352,506,5,3.603914737701416
358,1269,125,5,1.0
359,7236,2207,6,1.0
360,2405,23208,6,3.276106357574463
361,1084,1384,2,1.0
362,3302,17360,6,1.0
363,42,17325,6,1.0
364,3981,7647,6,5.044373035430908
365,888,24415,6,1.0
366,602,7875,6,5.498110294342041
367,13667,1005,6,1.0
368,11006,856,6,1.0
369,4329,223,6,1.0
370,7805,2231,5,1.0
371,5922,12241,4,1.0
372,386,6774,6,1.0
373,4301,16146,5,4.954953193664551
374,6579,13598,5,1.0
375,12051,6064,6,2.8403453826904297
376,2183,3287,6,2.8693413734436035
377,3126,1565,5,2.313326835632324
378,976,6884,5,1.0
379,1905,26422,6,6.0
380,1184,4439,6,1.0
381,1127,7918,6,1.0
382,1088,17227,5,1.0
383,2338,6246,1,1.0
384,7357,16602,5,1.0
385,379,15673,6,1.0
386,7741,4703,6,1.0
387,1874,15711,6,5.838266849517822
388,1289,5885,6,1.0
389,8594,13721,5,1.0
390,1321,22326,5,3.892153263092041
391,7131,4661,6,1.0
392,10360,2135,1,1.0
393,653,5962,6,1.0
394,2389,3879,6,1.0
395,12748,5258,5,6.0
396,12602,2171,6,1.0
397,249,16666,6,1.0
398,6361,19219,6,1.0
399,845,17804,6,1.0613112449645996
400,2021,2969,6,1.0
401,4465,4959,6,1.0
402,5107,16638,1,1.0
403,1859,7294,4,1.0
404,3363,435,6,6.0
405,13821,27033,6,2.186342716217041
406,950,15666,6,1.0
407,3339,20129,6,1.0
408,8452,4446,6,1.4820070266723633
409,12091,17341,5,1.0
410,6114,7511,6,1.0
411,72,10686,5,1.0
412,13364,3959,6,1.0
413,2663,25115,6,1.0
414,382,2707,5,1.0
415,10185,34113,6,4.374197959899902
416,1446,5085,6,1.0
417,255,4111,6,1.0
418,1288,950,6,1.0
419,2447,2869,6,1.138265609741211
420,1939,3375,6,1.0
421,2847,10553,6,5.18902587890625
422,9273,7816,6,1.0
423,7935,13142,6,6.0
424,5350,22534,6,1.0
425,2541,24681,6,1.1244691610336304
426,511,6396,6,1.5568745136260986
427,1565,2698,5,1.0
428,5995,12462,6,1.0
429,1443,10119,6,1.0
430,221,12795,4,1.0
431,4754,725,6,1.0
432,2,1965,6,1.0
433,3697,19351,6,5.361499309539795
434,6866,5519,6,1.0
435,4822,5564,6,1.0
436,2630,4157,6,1.0
437,1112,10396,6,1.0
438,5111,1984,6,1.0
439,728,2102,6,1.0
440,1415,351,6,1.0
441,5541,11232,1,2.1424407958984375
442,5243,10443,6,4.330496788024902
443,2076,5909,6,1.0
444,13009,22715,6,3.584300994873047
445,7211,6810,6,1.0
446,4737,1891,5,1.0
447,7668,23064,6,1.0
448,7912,27493,6,1.0
449,5199,4652,6,1.0
450,2157,8531,6,6.0
451,5392,10839,6,1.0
452,7401,1490,6,1.4464402198791504
453,9650,2220,6,1.0
454,12092,4710,6,1.0
455,6844,499,6,1.0
456,8371,17533,6,6.0
457,2229,14258,5,1.0
458,2969,11998,6,1.0
459,3216,5376,6,1.0
460,2106,3140,6,1.0
461,3422,5838,6,1.0
462,6610,3228,6,2.2100765705108643
463,708,4109,6,1.0
464,10377,6022,1,1.0
465,9348,30935,5,1.0
466,12087,2279,6,1.0
467,3025,24550,6,1.0
468,1377,2963,6,4.720414638519287
469,4754,15313,6,1.0
470,6938,1095,6,1.0
471,7806,1158,6,1.0
472,2054,3034,6,1.0
473,261,7327,6,1.0
474,2771,16836,6,5.845922946929932
475,5304,4749,6,1.0
476,12257,13050,6,3.985381841659546
477,1152,26275,5,1.0
478,3975,12366,6,1.0
479,3728,23179,6,5.113437175750732
480,2045,3493,6,1.0
481,48,6694,6,1.0
482,827,2241,6,6.0
483,428,1687,6,3.2897093296051025
484,1011,4975,6,1.0
485,12774,8530,6,3.5300238132476807
486,9441,4451,5,1.0
487,297,21224,6,1.0
488,774,19411,6,1.0
489,675,3427,5,1.0
490,1051,13451,5,1.0
491,11032,20162,6,1.0
492,14,5369,6,1.0
493,685,16484,6,1.0
494,1452,8634,6,1.0
495,10332,1521,6,6.0
496,4268,7894,6,1.0
497,5840,30956,6,5.274767875671387
498,3181,5280,6,1.0
499,9400,8371,1,1.0
500,6339,7672,6,4.275940895080566
501,1530,13768,6,1.0
502,3498,11559,6,1.0
503,546,1094,6,3.655930995941162
504,6646,759,5,1.0
505,7611,32234,6,1.0
506,863,17678,6,2.1314773559570312
507,115,16161,6,3.9256114959716797
508,11620,15773,5,1.0
509,3936,15165,3,1.0
510,1137,8135,5,1.0717346668243408
511,83,16374,6,1.0
512,1004,7359,6,1.0
513,240,19155,6,1.0
514,10481,264,5,1.0
515,5925,23648,6,6.0
516,2450,7102,6,1.0
517,546,10037,6,3.655930995941162
518,4983,2329,5,1.0
519,394,442,5,1.0
520,219,6021,6,1.3810088634490967
521,10714,13776,6,1.0
522,314,12214,6,1.0
523,4617,6373,6,5.057999134063721
524,3207,22314,6,1.0
