,u,i,rating,rating_pred
0,15204,61982,0.0,5.0
1,1363,102742,4.0,3.6774112943528237
2,12043,103878,5.0,3.4183526011560694
3,3854,1666,4.0,4.460170893054024
4,248,103661,4.0,4.718791908491576
5,13153,96763,2.0,5.0
6,8791,96543,5.0,4.536976080754883
7,13513,71534,5.0,4.70160481444333
8,1034,104723,5.0,4.9362403810919755
9,330,82617,4.0,4.543595954879099
10,5099,104729,5.0,4.640468705344384
11,2516,97905,5.0,4.822053513563559
12,543,90890,5.0,3.966103728589855
13,9368,6176,4.0,3.2632794457274827
14,221,140919,4.0,4.325636282452
15,326,96931,5.0,4.596275252525253
16,20314,90910,5.0,4.359499431171786
17,6067,108659,5.0,4.9701979551881665
18,10374,111127,4.0,4.525704809286899
19,2812,111136,5.0,4.823494687131051
20,814,33671,4.0,2.966882649388049
21,128,96869,5.0,4.788367835772639
22,5212,21603,5.0,5.0
23,11811,48337,5.0,5.0
24,374,8160,5.0,4.937007324729683
25,964,96868,5.0,4.800542916235781
26,253,51009,5.0,4.940746367866299
27,12119,53363,5.0,5.0
28,848,4369,5.0,3.2154950091532264
29,564,109444,5.0,4.838541666666667
30,17,63159,5.0,4.688824673459014
31,5110,20238,5.0,4.568082901554404
32,840,48733,5.0,4.3316560927586965
33,405,86642,5.0,3.7226502311248075
34,895,116310,4.0,4.20571667014396
35,3315,105762,4.0,4.5189038315148435
36,193,945,5.0,4.761137287941669
37,3917,13684,5.0,4.554329371816638
38,832,120310,5.0,4.360073328467401
39,8316,98280,4.0,4.172158459829693
40,13374,84035,3.0,4.219092331768388
41,11272,125408,5.0,3.0
42,2277,5485,4.0,4.524073366450134
43,6462,30713,5.0,4.6653172996785335
44,470,64601,5.0,4.544917442679396
45,1699,111260,5.0,5.0
46,8219,62225,4.0,4.404915912031048
47,13150,128509,5.0,4.777545327754533
48,4505,11189,5.0,4.814405946005028
49,13887,36970,1.0,4.875655073844688
50,11453,134349,5.0,5.0
51,94,110610,5.0,4.970495534522566
52,4552,90974,5.0,4.416312219795379
53,4275,129127,3.0,3.4557119205298013
54,4513,70383,4.0,4.522689075630252
55,4950,2262,5.0,4.6938754816467245
56,653,1921,5.0,4.296872616323418
57,8345,65021,4.0,4.1105469651511655
58,4696,48058,5.0,4.9455159791637335
59,8702,50878,5.0,4.686262247237857
60,8271,5076,5.0,2.386451116243264
61,12364,45408,5.0,4.484356894553882
62,7816,70144,4.0,4.3113287904599655
63,432,33563,5.0,4.892752203721841
64,2197,26470,5.0,4.84601795966436
65,1450,137277,5.0,4.725609756097561
66,14979,122019,3.0,4.891572545612511
67,13461,106142,5.0,4.422976501305483
68,8071,139972,5.0,3.385033578509754
69,717,119552,5.0,4.468874619803988
70,5216,53283,5.0,4.842165898617512
71,6036,92130,5.0,4.963054525477269
72,728,13436,5.0,4.7124590543799965
73,19098,64188,4.0,4.476293103448276
74,11433,64261,4.0,3.966277561608301
75,1072,361,5.0,4.956550349339062
76,271,31965,5.0,4.503396758280479
77,19487,28650,5.0,5.0
78,5291,128479,5.0,5.0
79,3567,113656,5.0,4.6922781036638135
80,41,19634,5.0,4.680077267957646
81,16408,96302,4.0,4.889705882352941
82,104,150357,5.0,4.860959165500573
83,1159,128787,3.0,4.261375220090817
84,5454,52338,5.0,4.587155963302752
85,704,31908,5.0,4.469746659014512
86,7715,149405,5.0,4.548831385642738
87,169,47717,4.0,4.276709775136898
88,427,71170,4.0,4.522601984564498
89,15455,55132,4.0,5.0
90,11389,8674,5.0,3.2784272051009564
91,5526,28163,5.0,3.2479406919275124
92,17715,32780,5.0,4.6368676368676365
93,15029,15159,4.0,5.0
94,2150,63463,5.0,4.9867331576966505
95,9992,134105,5.0,5.0
96,330,53183,5.0,4.542271742618742
97,1375,154872,5.0,4.061067438973935
98,9808,6569,5.0,5.0
99,11802,107661,5.0,4.485165064772253
100,3789,81066,5.0,4.4472290338401175
101,10731,76830,5.0,5.0
102,380,53939,5.0,4.609332040271543
103,1217,46522,5.0,4.985833076686172
104,15407,43748,4.0,3.9894736842105263
105,10,18167,5.0,4.724214417744917
106,10,39226,5.0,4.718005448691488
107,9016,155260,5.0,5.0
108,1185,155954,4.0,4.873706659909624
109,1623,83725,5.0,4.775016350555919
110,7826,7866,5.0,4.376133478418571
111,22291,155996,5.0,5.0
112,12024,25290,5.0,4.489256198347108
113,2831,119749,5.0,4.887978653684112
114,8111,47290,2.0,4.872762714867978
115,5052,49389,5.0,4.587588373919874
116,330,119529,5.0,4.541307982611188
117,423,24677,5.0,4.682111372202685
118,100,59272,5.0,4.803036920079283
119,2487,59104,5.0,4.602192181220314
120,189,63236,4.0,4.473810118898847
121,4333,139902,5.0,4.874424614390697
122,17,73303,4.0,4.68649096955496
123,77,157780,4.0,4.551190613137007
124,323,157865,5.0,4.455106465780842
125,12737,10908,3.0,5.0
126,15869,61435,5.0,5.0
127,3150,119437,5.0,4.962623555517132
128,2934,127741,5.0,4.789167877152936
129,2631,152911,5.0,4.9581966178697625
130,1538,114804,5.0,4.866227618851616
131,3197,23212,5.0,4.530864859071911
132,353,159245,5.0,4.088107041219131
133,7298,108055,5.0,5.0
134,3724,70141,5.0,4.863993385696569
135,1633,64350,5.0,4.945133010882708
136,5511,2671,5.0,4.600737100737101
137,10840,32511,5.0,5.0
138,19365,75184,5.0,4.0
139,857,142460,5.0,4.9360565235008105
140,2101,30391,5.0,5.0
141,778,45708,5.0,4.639332459050117
