,u,i,rating_pred,rating
0,2375,903,4.875,6
1,2375,96738,4.875,6
2,1229,36359,5.222222222222222,5
3,1229,97401,5.222222222222222,6
4,1229,101831,5.222222222222222,6
5,1066,19634,5.362754065040651,6
6,1066,29535,5.5,6
7,1066,63746,5.5,6
8,1066,162545,5.5,5
9,77,10899,5.180648048693162,5
10,77,12032,5.164749219359875,6
11,77,26470,5.169438946863381,5
12,77,79338,5.18470045125282,6
13,77,96575,5.055555555555555,6
14,77,131657,5.277777777777778,5
15,77,160005,5.055555555555555,6
16,77,167036,5.055555555555555,6
17,23851,100757,5.25,6
18,1610,103661,5.733174081035924,1
19,13032,41517,4.75,6
20,13032,90038,3.898548981882315,6
21,17163,96543,5.711311015634324,6
22,11819,78956,5.25,5
23,342,71496,5.375,6
24,7080,71534,5.532039682539683,5
25,1384,104723,5.122596726190476,6
26,1384,165260,5.046296296296296,6
27,3791,104729,4.733876239276725,6
28,2981,1915,4.922222222222222,3
29,2981,5298,4.922222222222222,6
30,2981,145683,5.09126620066987,6
31,5285,58702,4.588888888888889,6
32,9356,104686,4.388888888888889,6
33,3908,90890,5.309523809523809,5
34,453,3165,5.3125,6
35,453,17320,5.3125,6
36,453,30810,5.3125,6
37,453,38291,5.3125,6
38,453,95864,5.682715548340548,5
39,453,119071,5.698906561713939,6
40,453,129174,5.3125,6
41,453,137945,5.3125,5
42,453,141528,5.625595238095238,6
43,453,162691,5.688519025496378,6
44,453,163792,5.3125,6
45,453,170782,5.3125,5
46,2144,1815,5.25,6
47,2144,30316,5.25,6
48,2144,31894,5.798830325140809,6
49,2144,62117,5.780641688199827,5
50,2144,63924,5.25,6
51,2144,88164,5.25,1
52,2144,100266,5.25,5
53,2144,139597,5.25,5
54,2144,163739,5.25,6
55,222,108659,4.9455661375661375,6
56,222,115952,4.903663793103449,6
57,8000,111127,5.76915298728187,6
58,1217,21908,4.9833333333333325,6
59,1217,93346,4.9833333333333325,6
60,1217,107172,4.9833333333333325,6
61,1217,111136,4.667702266758022,6
62,9323,10489,5.4375,6
63,9323,150933,5.4375,6
64,2862,82202,4.805555555555555,6
65,21610,118496,4.743333333333334,4
66,16339,83393,5.4375,6
67,9301,101502,5.277777777777778,5
68,23740,66172,5.444444444444445,6
69,10241,7223,5.4375,6
70,24114,96770,5.4375,6
71,21882,97331,5.4375,6
72,2028,8160,5.7501984126984125,5
73,4827,106975,5.3,6
74,7556,4369,4.9246595259603385,6
75,7556,146897,4.973023391812866,6
76,564,18103,5.349837257000178,6
77,564,35164,5.3976814380143,6
78,564,43837,5.37867144147632,5
79,564,109444,5.382865646258503,6
80,14893,110288,4.722222222222222,6
81,20109,63159,5.7065917671416395,6
82,4956,101486,4.916666666666667,6
83,1795,41169,5.450082982254564,6
84,1795,111110,5.683333333333333,5
85,1795,111550,5.683333333333333,6
86,1795,141588,5.683333333333333,6
87,1795,150946,5.4598002421307505,6
88,755,7004,5.116666666666666,6
89,755,106295,5.095398948331047,6
90,755,110405,5.116666666666666,6
91,755,138481,5.116666666666666,6
92,755,170543,5.113790236765097,6
93,755,171365,5.07556491765607,6
94,1344,20238,4.3238758553274685,6
95,1272,46512,5.41866134751773,5
96,1272,48733,5.394641101278269,6
97,1272,59660,5.125,5
98,1272,85520,5.406098090277777,6
99,2020,107224,5.473205854579793,6
100,2020,116310,5.431725146198831,6
101,2020,163533,5.4691558441558445,6
102,3307,1334,5.4375,2
103,4589,7012,5.635806878306878,5
104,4589,28206,5.65866520521252,6
105,4589,33565,5.388888888888889,6
106,2473,945,5.076444193577814,6
107,8170,66298,5.4375,6
108,13216,11712,5.05,5
109,13216,19160,4.566901408450704,5
110,13216,74603,5.05,6
111,13216,120310,4.789866255144033,5
112,14435,120834,5.4375,6
113,1121,98280,5.083642722625774,4
114,1121,107040,4.666666666666667,6
115,1121,164230,4.666666666666667,4
116,9882,12260,5.4375,6
117,14663,52602,5.3,4
118,17308,45660,5.0,5
119,928,65190,5.1,6
120,21750,41800,5.4375,6
121,5088,5485,5.761545175254852,6
122,6917,69399,5.4375,5
123,17137,30713,5.764653535832938,6
124,762,267,5.4924291154633895,6
125,762,124484,4.85,6
126,762,139822,4.85,6
127,2136,110119,5.0,5
128,2136,148992,5.0,5
129,2304,64601,5.166431556948798,6
130,2997,61560,5.052970712825007,6
131,2997,128535,4.90625,6
132,11866,104640,5.518518518518519,6
133,137,37162,5.458333333333334,5
134,137,42272,5.458333333333334,6
135,137,86018,5.458333333333334,6
136,137,128087,5.114305177111717,6
137,137,147057,5.458333333333334,6
138,137,161263,5.050612353567625,6
139,8385,91768,5.75,6
140,386,77138,5.111111111111111,5
141,386,95186,5.673456642164696,4
142,386,122488,5.111111111111111,6
143,386,160494,5.111111111111111,6
144,6064,44367,5.055555555555555,6
145,1359,1921,5.3953727324263046,6
146,552,21258,5.0166666666666675,6
147,552,25912,5.0166666666666675,6
148,552,83359,5.0166666666666675,6
149,552,103336,5.0166666666666675,6
150,552,132314,5.894796515097267,6
151,552,133437,5.879216992919616,6
152,552,152495,5.0166666666666675,1
153,552,157749,5.0166666666666675,5
154,7880,48058,4.755133112316657,6
155,5442,129494,5.611111111111111,6
156,5442,166074,5.713383256528419,6
157,276,33065,4.844444444444445,6
158,276,50878,5.078726060064088,6
159,17269,102591,5.4375,4
160,4497,52463,4.9799999999999995,6
161,4497,82121,4.9799999999999995,6
162,4497,172451,4.551156512605042,6
163,17020,132583,5.05,6
164,1770,55559,4.740740740740741,6
165,1770,56077,4.740740740740741,1
166,2408,70144,5.064535567313345,6
167,17896,33563,5.006262988017863,6
168,275,979,4.699999999999999,5
169,275,29415,4.699999999999999,6
170,275,47771,4.699999999999999,6
171,275,55521,4.7035284486287345,6
172,275,66318,4.699999999999999,6
173,275,84482,4.699999999999999,6
174,275,84796,4.693417566137566,6
175,275,85066,4.719946541656386,6
176,275,113774,4.699999999999999,6
177,275,129817,4.699999999999999,6
178,275,135287,4.699999999999999,6
179,275,146204,4.699999999999999,6
180,275,159785,4.699999999999999,6
181,275,165334,5.1361678004535145,6
182,275,168733,4.699999999999999,6
183,13493,135342,5.088888888888889,6
184,6249,135369,5.62962962962963,6
185,103,43513,5.0,6
186,103,86408,5.0,6
187,103,158362,5.0,6
188,103,178073,5.0,1
189,14050,135761,4.642857142857143,6
190,5208,93410,5.4375,6
191,636,109305,5.8125,6
192,636,137277,5.681953762167851,6
193,636,143947,5.8125,6
194,10360,122019,5.7201460142067875,6
195,1595,92748,5.333333333333333,6
196,1595,106142,5.602180120015486,5
197,12918,11144,5.444444444444445,6
198,12918,138181,5.444444444444445,6
199,3336,132677,5.625,6
200,3336,175105,5.49794124071647,6
201,4346,22579,5.574074074074074,6
202,4346,28790,5.312093416601614,6
203,11357,8666,5.4375,6
204,1839,10830,5.144444444444444,6
205,1839,40017,5.144444444444444,6
206,51,111119,5.074074074074074,6
207,51,114312,5.703297898793982,6
208,3822,64188,4.979295099782652,6
209,5598,30824,5.4375,6
210,5598,81909,5.764381557707829,6
211,590,15158,5.227777777777778,6
212,590,103294,5.227777777777778,6
213,590,165036,5.227777777777778,6
214,5003,64261,5.6509930530815815,5
215,1074,361,5.7658054003724395,6
216,14131,31965,4.789863847837986,6
217,5885,2958,5.4,6
218,5885,61480,5.4,6
219,5885,114803,5.396016081871346,5
220,19251,127083,4.297017178224074,6
221,5622,147036,4.566666666666666,5
222,9341,28650,5.6377544289483605,6
223,1336,76859,5.08,1
224,1336,147977,5.08,5
225,7465,23116,4.7,6
226,4528,132445,5.4,5
227,7140,4790,5.4375,6
228,11040,8252,5.5,6
229,11040,38432,5.5,6
230,11040,53595,5.5,6
231,9406,147313,5.0625,6
232,6722,105392,5.185714285714285,6
233,5441,17676,4.922222222222222,5
234,2336,31827,5.311111111111111,6
235,2336,63806,5.311111111111111,6
236,2336,109491,5.311111111111111,5
237,9275,96302,5.727069695802849,6
238,1377,12127,5.4,6
239,1377,100022,5.658867757629368,6
240,498,2597,5.388888888888889,5
241,498,24634,5.388888888888889,6
242,498,57976,5.217630076553782,6
243,498,151794,5.388888888888889,6
244,498,154490,5.231130533199195,6
245,8167,149405,4.977039930555555,5
246,13349,47717,5.757661389297987,6
247,2327,59949,5.888888888888889,6
248,2327,163100,5.888888888888889,6
249,22920,90678,4.4,6
250,17530,151910,5.4375,6
251,8638,8674,4.9940097259062775,4
252,9084,28163,5.431351554428478,6
253,9084,83436,5.44389274828801,6
254,9084,102211,4.6,6
255,9084,103297,4.6,6
256,2425,32780,4.375367890211641,5
257,2425,37588,4.533333333333333,5
258,2425,158151,4.533333333333333,6
259,2425,164474,4.533333333333333,6
260,1137,87781,5.0740740740740735,5
261,12233,100795,5.4375,4
262,12502,113765,5.2299999999999995,6
263,752,13778,5.1,6
264,752,60309,5.1,6
265,752,157339,5.1,6
266,752,173110,5.1,6
267,395,63463,5.204159132007233,5
268,395,76947,5.555555555555555,5
269,395,162356,5.250253555967841,5
270,1200,45675,5.2712157488693805,6
271,1200,146821,5.241783814589666,5
272,1200,153492,5.5,6
273,5416,86860,5.222222222222222,6
274,5416,154511,5.222222222222222,6
275,3049,134105,5.740410256410256,6
276,541,31430,5.277777777777778,5
277,541,92217,5.4512648809523805,6
278,541,129516,5.277777777777778,4
279,541,129903,5.277777777777778,6
280,541,164690,5.277777777777778,6
281,1112,53183,5.7495755693581785,6
282,3460,6569,5.21420605416888,6
283,3460,35402,5.38,6
284,753,78593,5.388888888888889,4
285,753,81066,5.518338477366256,5
286,753,85708,5.528523425499232,3
287,753,130596,5.388888888888889,6
288,1996,96114,5.277777777777778,6
289,1996,96642,5.5099371202486935,6
290,3604,46522,5.202897677475899,6
291,3604,72311,5.17945176452458,6
292,18208,43748,5.738561507936508,5
293,7723,61029,5.25,5
294,7723,145612,5.25,5
295,3521,4294,4.928571428571429,6
296,1185,67049,5.2150094696969695,6
297,1185,125946,4.928571428571429,5
298,1185,155954,5.2065458042973285,5
299,11067,77703,5.0625,6
300,3436,82370,4.88,3
301,8,11814,5.074074074074074,6
302,8,149244,5.433468730839975,6
303,8,156041,5.074074074074074,6
304,4773,25290,5.41917895472583,6
305,4773,106785,4.575,6
306,13910,109747,5.344444444444444,6
307,13910,119749,5.1352325278370055,6
308,359,48614,5.194444444444445,6
309,359,156061,5.194444444444445,6
310,3029,46796,5.4,6
311,2749,100344,5.074074074074074,6
312,2749,154981,4.848962462462462,6
313,13559,50265,5.4375,1
314,4150,64203,5.4375,6
315,100,9203,5.388888888888889,6
316,100,14311,5.388888888888889,6
317,100,68893,5.6977598566308245,6
318,100,86859,5.388888888888889,6
319,100,104669,5.688579387186629,6
320,100,139664,5.704442843419789,6
321,100,156373,5.388888888888889,6
322,100,163323,5.388888888888889,6
323,100,170724,5.7033014571948994,6
324,100,172029,5.6700245098039215,6
325,14957,156352,5.4375,6
326,16237,132020,5.166666666666667,1
327,2457,102112,5.555555555555555,6
328,1911,50909,5.277777777777778,6
329,3559,55802,4.6037037037037045,5
330,3559,119437,5.096024218178689,5
331,8535,106123,5.4375,6
332,1149,127741,5.599248436748436,6
333,23849,152911,5.754055752735877,6
334,16964,124277,5.4375,6
335,1598,10393,4.966666666666667,5
336,1589,99080,5.178571428571429,6
337,1052,1074,5.083333333333334,6
338,3578,85047,5.4375,5
339,19831,65109,5.066666666666667,6
340,1709,12394,4.805555555555555,6
341,1709,32937,4.805555555555555,5
342,1709,87550,4.906513248343956,6
343,1709,146919,4.805555555555555,6
344,1709,157774,4.805555555555555,1
345,7213,70141,5.467701093951094,6
346,1692,64350,4.947511717673008,5
347,1692,97040,4.946666666666667,6
348,1692,167628,4.928567776803972,6
349,5487,2671,5.753776575904513,6
350,8350,136789,4.616666666666667,6
351,2009,32511,5.015514285714286,6
352,4389,54684,4.811111111111111,6
353,4389,123074,5.279477367870225,6
354,2769,32135,5.4375,6
355,3556,30391,5.832871720116618,5
356,3556,102676,5.351851851851852,6
357,3556,140161,5.351851851851852,6
358,315,56058,3.831038647342995,1
359,315,74426,5.229166666666666,6
360,315,101542,5.229166666666666,6
361,20153,78213,5.4375,5
362,21168,157499,5.222222222222222,6
363,10644,119515,4.708333333333334,5
364,198,21304,5.213611111111112,1
365,17474,147317,5.722238095238095,5
366,372,103767,5.240740740740741,6
367,372,145305,5.240740740740741,6
368,1267,147383,5.13,6
369,2190,162529,4.838545603426556,6
370,15869,77154,5.4375,6
371,508,32188,5.116666666666667,5
372,508,100387,5.567344274524431,6
373,4514,40601,5.1875,6
374,4514,124549,5.1875,4
375,1174,77737,5.283333333333333,6
376,1391,92497,5.111111111111111,6
377,8452,5193,5.121401166149729,6
378,37,16347,5.119642857142857,6
379,37,44577,4.716666666666667,6
380,37,92216,4.716666666666667,6
381,12655,50085,4.916666666666667,5
382,561,35229,5.732788944723619,5
383,561,65899,5.738483965014577,6
384,561,128461,5.740537848605578,6
385,462,8026,4.63,6
386,462,160849,4.63,5
387,15344,141217,4.981481481481481,6
388,13523,38016,5.4375,5
389,11872,94258,4.8125,6
390,2849,119308,5.118004444444444,5
391,3002,72207,5.365676995384442,6
392,201,45106,5.0,6
393,15414,129439,4.759259259259259,5
394,15414,154502,5.647074020084224,5
395,3112,141005,5.403844762731482,6
396,3112,163678,5.375,6
397,6727,3660,5.4375,4
398,271,19549,5.5159323566932255,6
399,271,163671,5.543784638814311,4
400,7595,161936,5.142857142857143,6
401,19901,48168,5.749180173388616,5
402,839,279,5.4375,6
403,831,6773,5.55,6
404,831,17321,5.648100588550027,5
405,831,30124,5.643907853196527,6
406,831,84100,5.64459592965817,6
407,831,86960,5.55,6
408,831,158289,5.55,6
409,467,107662,5.673970037453183,5
410,467,153154,5.388888888888889,6
411,11236,160708,4.93,6
412,274,9712,5.625,6
413,274,39934,5.625,6
414,274,61264,5.625,6
415,274,147198,5.583484665052461,6
416,16205,11762,5.723247094113236,6
417,1034,84206,5.777777777777778,6
418,1034,99318,5.777777777777778,6
419,5626,8523,5.5,6
420,772,35380,5.214285714285714,5
421,22791,85056,5.756079553483114,6
422,128,37229,4.866500289351852,6
423,128,47715,4.878285024154589,6
424,128,48069,5.277777777777778,6
425,128,61961,5.277777777777778,6
426,128,63559,5.277777777777778,6
427,128,67440,5.277777777777778,6
428,128,75721,4.879253926701571,6
429,128,122721,5.277777777777778,6
430,128,140485,5.277777777777778,6
431,128,141431,5.277777777777778,6
432,128,157680,5.277777777777778,6
433,128,163518,5.277777777777778,6
434,128,170115,5.277777777777778,6
435,11763,65619,4.625,6
436,13963,50710,5.906602105436303,6
437,2907,13041,5.5,6
438,9914,136883,5.0,6
439,3840,15307,5.681832210998877,6
440,3840,104569,5.388888888888889,6
441,3840,140744,5.388888888888889,6
442,12676,13489,4.55,6
443,17853,160947,4.3,6
444,2891,24565,5.75,5
445,2891,40335,5.75,5
446,2891,52859,5.454129717363136,5
447,2891,54293,5.75,6
448,2891,90182,5.41858153638814,6
449,6937,3820,4.683333333333334,4
450,21661,143200,5.751849718381976,6
451,21661,147765,5.4375,6
452,7349,59116,4.404761904761904,5
453,7349,108032,4.404761904761904,6
454,3644,52651,5.566666666666667,6
455,3644,53507,5.566666666666667,6
456,3644,54333,5.566666666666667,6
457,3644,90959,5.566666666666667,6
458,2547,131918,5.35,2
459,2547,156577,5.35,6
460,11783,74052,5.162207036445863,6
461,11783,92697,4.546666666666667,6
462,829,4162,5.41,5
463,829,47472,5.41,6
464,829,64301,5.41,6
465,829,130317,5.0827490942028986,5
466,24884,134551,5.4375,1
467,1304,20685,5.888888888888889,5
468,1304,76205,5.888888888888889,6
469,1304,87596,5.888888888888889,6
470,1304,90427,5.888888888888889,6
471,1304,102581,5.904677980852916,6
472,2031,41559,5.629104823747681,5
473,2031,127852,5.631660470879802,5
474,1825,97459,5.333333333333333,6
475,1825,143310,5.3379635482511585,1
476,15976,39192,5.35,6
477,23710,69585,4.8,6
478,1966,37729,5.833333333333333,6
479,1966,80011,5.575705009276438,6
480,1966,82291,5.833333333333333,6
481,1966,113077,5.833333333333333,6
482,1966,115099,5.598785832741057,4
483,2042,147507,4.875,6
484,2042,164752,5.516521447721179,6
485,6069,167753,5.644246883302677,5
486,10092,12074,4.208333333333333,6
487,9583,167743,5.0,6
488,23162,85063,5.5457875457875465,6
489,16080,64712,4.85,5
490,16080,65200,4.85,5
491,8970,7480,4.333333333333333,6
492,5309,121513,5.25,6
493,5309,162858,5.25,6
494,1338,25093,5.321428571428571,5
495,1338,114945,5.321428571428571,6
496,3,11831,5.11550491510277,6
497,3,20203,5.1031208892396736,6
498,3,21493,4.814814814814815,6
499,3,22399,5.102552275522755,6
500,3,34439,4.814814814814815,6
501,3,61938,4.814814814814815,6
502,3,78224,5.0852725563909775,6
503,3,80957,5.148111349803079,6
504,3,163193,5.150573440643863,6
505,3,164568,5.140652201740911,6
506,17,120,5.802029220779221,6
507,17,28195,5.818629385964913,6
508,17,64190,5.611111111111111,6
509,17,87802,5.611111111111111,6
510,17,178044,5.802075509488758,6
511,778,27355,5.443186755280251,5
512,778,30431,4.944444444444445,6
513,778,86306,5.475870646766168,5
514,778,111034,5.461703103190834,6
515,778,120534,5.445455879590495,6
516,778,141777,5.4090943043884225,6
517,778,158806,4.944444444444445,5
518,746,57401,4.640740740740741,6
519,746,167961,5.730696364567332,6
520,6321,16678,4.779999999999999,6
521,6321,99682,4.779999999999999,6
522,6321,168038,4.779999999999999,6
523,16555,61043,5.4375,6
524,14422,151590,4.8,6
525,8156,78960,5.066666666666667,6
526,1347,16219,5.328125670846435,6
527,1347,91247,4.593333333333333,6
528,1431,31260,5.222222222222222,6
529,1431,52522,5.222222222222222,5
530,1431,60370,5.222222222222222,6
531,1431,61969,5.222222222222222,5
532,1431,87422,5.337831525015069,5
533,1431,160680,5.222222222222222,6
534,693,13879,5.075,6
535,693,35635,5.075,6
536,693,76181,5.068384722982424,6
537,693,79587,5.075,6
538,693,82053,5.034330759330759,6
539,6086,113928,5.1875,5
540,567,34296,5.0375,6
541,567,48143,5.0375,6
542,2377,142183,5.7856815044858525,1
543,1573,82283,6.0,1
544,1573,83519,6.0,6
545,1573,93880,6.0,6
546,10086,109766,5.75,1
547,10086,124238,5.75,6
548,3015,56388,4.958333333333333,6
549,3259,58875,4.68,6
550,3259,69097,4.68,6
551,3259,137597,4.68,6
552,20341,99184,5.5,6
553,11329,47500,4.814681929181929,5
554,6277,4177,5.19182784224801,6
555,1039,69972,5.308333333333333,6
556,993,18007,5.166666666666667,6
557,7318,45391,5.6875,6
558,7318,48236,5.77463167587477,6
559,210,106202,5.083333333333334,5
560,210,119544,5.083333333333334,6
561,210,148935,5.664276113671275,6
562,14394,13833,5.392857142857143,6
563,4217,1783,5.723303739574926,5
564,11452,12178,5.422222222222222,6
565,12949,28879,5.4375,6
566,5408,80096,5.760253564702717,6
567,5408,115557,5.4375,6
568,12085,9574,4.957388981020822,6
569,1941,85542,5.732767089643881,6
570,1941,158930,5.70773189484127,6
571,5154,129522,5.4375,6
572,2140,95540,4.611111111111111,6
573,1194,32886,4.83044776119403,5
574,1393,7926,5.4912391717991085,6
575,2048,13886,5.4375,1
576,4351,151146,5.222222222222222,6
577,4351,151311,5.222222222222222,6
578,209,14290,5.05,5
579,209,149048,5.134284420289855,6
580,6067,47335,5.111111111111111,6
581,6290,94801,4.925925925925926,6
582,6290,97305,5.342135689354276,1
583,6290,107197,4.925925925925926,6
584,7103,111865,4.888888888888889,6
585,12378,139149,5.388888888888889,6
586,10483,57203,4.685,3
587,901,4683,5.166666666666667,6
588,901,38427,5.0281,6
589,901,72204,5.056401303538175,6
590,901,115659,5.166666666666667,6
591,696,31671,5.592896825396825,5
592,696,151452,5.581439393939394,6
593,2961,34215,5.15,5
594,2961,54644,5.15,6
595,9418,124230,5.125,1
596,3575,27335,5.406910569105691,6
597,3575,137900,5.391716417910448,6
598,423,9501,5.3603551649112395,6
599,423,32734,5.65,6
600,423,66996,5.65,6
601,12133,14169,4.333333333333333,6
602,12133,100654,4.8866632973944295,6
603,4590,53910,4.933333333333334,6
604,1322,505,4.9,6
605,1322,39762,5.245799079996841,6
606,1322,89074,4.9,6
607,105,21452,4.9,5
608,105,68100,5.385255207021079,6
609,105,129664,5.387007941181969,6
610,4563,105678,5.375,6
611,330,67745,5.026117724867725,6
612,330,73519,4.975,5
613,330,124567,4.975,5
614,330,172148,5.045707215836527,1
615,803,29952,5.388888888888889,6
616,803,65133,5.388888888888889,1
617,803,87717,5.388888888888889,6
618,803,102029,5.388888888888889,6
619,803,118051,6.0,6
620,4509,1944,5.35887370311253,6
621,1963,19247,5.144444444444444,6
622,1963,112411,5.248883722464055,6
623,1963,133247,5.212717536813923,6
624,1963,148228,5.2030220287561,5
625,1963,161791,5.216169259783121,5
626,2429,55907,5.777777777777778,5
627,10552,164496,5.13,6
628,2536,2088,5.0625,6
629,2536,35703,5.621368603411514,6
630,1379,18870,5.0,5
631,1379,157879,4.716679796918767,5
632,1379,158424,5.0,5
633,6556,99969,5.4375,6
634,19881,155664,4.900257751075508,6
635,12408,168469,5.875,6
636,824,42566,5.234674053356282,1
637,824,61274,5.23930873015873,6
638,1569,3754,4.391666666666667,4
639,1569,5360,4.391666666666667,6
640,1569,32722,4.391666666666667,6
641,1569,66747,4.391666666666667,6
642,1569,76381,5.126443001443001,6
643,1569,150546,4.391666666666667,5
644,3530,7673,5.7924703901356205,6
645,3530,97240,5.0625,5
646,82,28523,5.8,5
647,82,80449,5.084269162210338,5
648,82,99469,5.8,6
649,82,116421,5.8,6
650,82,136367,5.027520576131687,6
651,82,153532,5.017502612330199,6
652,82,155736,4.935766961651917,6
653,82,156947,5.8,6
654,82,157037,5.8,6
655,82,171761,5.012876254180602,6
656,322,58158,5.023209999020184,6
657,322,128111,5.0201361783328995,6
658,322,165388,5.166666666666667,6
659,10,94684,5.732814212641578,6
660,10,110391,5.444444444444445,5
661,10,153379,5.444444444444445,6
662,10,176014,5.444444444444445,6
663,2794,112981,5.066666666666667,5
664,3754,29165,5.366666666666666,6
665,4881,122779,5.4,6
666,6713,171598,5.4375,4
667,6543,39146,5.292251602205828,6
668,358,15940,4.44934238665526,6
669,358,88401,5.35,6
670,358,103960,4.414866434378629,5
671,13339,11908,5.749927371479095,6
672,863,60958,5.6470366696061145,4
673,14400,59702,5.4375,6
